,Haustyp,Angebotstyp,Wohnflaeche__m²_,Zimmer,plz,Verkaeufer,Baujahr,Preis,Grundstuecksflaeche__m²_,Provision,ExactPreis,Garten/_mitnutzung,Badewanne,Heizungsart,Dusche,Garage/Stellplatz,Keller,Moebliert/Teilmoebliert,Gaeste_WC,Terrasse,Aktuell_vermietet,Einbaukueche,Balkon,Barrierefrei,Einliegerwohnung,Dachboden,Nebenkosten__in_€_,Kaution__in_€_,Haustiere_erlaubt,Warmmiete__in_€_,Heizkosten__in_€_,WG_geeignet,Denkmalobjekt,Preis_pro_m2
83,mehrfamilienhaus,Angebot,160,6,44287,gewerblich,1984.0,99597.09103191512,236.0,ja,299000.0,0,1,fussbodenheizung,1,1,1,0,0,0,0,0,0,0,0,0,,,0,,,0,0,622.4818189494695
84,einfamilienhaus,Angebot,160,12,37276,privat,1973.0,107160.42558025406,1351.0,nein,320000.0,1,0,gasheizung,1,1,1,0,1,1,0,1,0,0,0,1,,,0,,,0,0,669.7526598765878
85,einfamilienhaus,Angebot,160,5,54662,gewerblich,1949.0,-33856.79087020019,640.0,ja,289000.0,1,0,zentralheizung,1,1,1,0,1,1,0,1,1,0,0,0,,,0,,,0,0,-211.60494293875118
86,einfamilienhaus,Angebot,160,7,66957,gewerblich,1963.0,94725.16559856568,674.0,ja,80000.0,1,1,oelheizung,1,1,1,0,1,0,0,0,1,0,0,1,,,0,,,0,0,592.0322849910356
87,einfamilienhaus,Angebot,160,6,53498,privat,1999.0,-16302.04162257889,580.0,nein,360000.0,1,1,oelheizung,1,1,1,0,1,1,0,1,1,0,1,1,,,0,,,0,0,-101.88776014111806
88,einfamilienhaus,Angebot,160,10,32825,gewerblich,1824.0,31736.02880160786,1002.0,ja,139000.0,1,1,zentralheizung,1,1,0,0,1,1,0,0,0,0,1,0,,,0,,,0,0,198.35018001004912
89,bungalow,Angebot,160,7,56355,gewerblich,1965.0,10851.658562397806,2650.0,nein,269000.0,0,0,zentralheizung,0,1,1,0,1,1,0,0,0,0,0,0,,,0,,,0,0,67.82286601498629
90,bungalow,Angebot,140,4,67112,privat,1975.0,41360.52457116025,450.0,nein,385000.0,1,1,zentralheizung,1,1,1,0,1,1,0,1,0,1,0,0,,,0,,,0,0,295.4323183654303
91,einfamilienhaus,Angebot,140,7,45701,privat,1907.0,15895.971600965731,893.0,nein,285000.0,1,1,gasheizung,0,1,1,0,1,1,0,1,0,0,1,1,,,0,,,0,0,113.54265429261237
92,einfamilienhaus,Angebot,160,8,41517,gewerblich,1955.0,-11698.759111995907,500.0,ja,249000.0,0,0,zentralheizung,1,1,0,0,0,0,0,1,1,0,0,0,,,0,,,0,0,-73.11724444997442
93,bauernhaus,Angebot,160,11,55471,gewerblich,1968.0,-22194.29937501762,2122.0,ja,248000.0,1,0,zentralheizung,0,1,0,0,0,1,0,1,1,0,0,0,,,0,,,0,0,-138.71437109386014
94,einfamilienhaus,Angebot,160,6,67141,gewerblich,1900.0,127729.08606235718,695.0,ja,320000.0,1,0,zentralheizung,1,1,1,0,0,0,0,0,0,0,0,0,,,0,,,0,0,798.3067878897324
95,andere,Angebot,140,6,54413,privat,1967.0,146323.80712364116,223.0,nein,90000.0,0,1,ofenheizung,1,1,1,1,1,0,0,0,0,0,0,1,,,0,,,0,0,1045.1700508831511
96,reihenhaus,Angebot,160,6,67065,gewerblich,2001.0,-27428.602212563794,286.0,ja,479000.0,1,1,zentralheizung,1,1,1,0,1,1,0,1,1,0,0,0,,,0,,,0,0,-171.4287638285237
97,einfamilienhaus,Angebot,140,5,53945,gewerblich,1977.0,146617.1693692082,3930.0,ja,239000.0,1,0,oelheizung,1,1,1,0,0,1,0,1,0,1,0,1,,,0,,,0,0,1047.2654954943441
98,einfamilienhaus,Angebot,20,6,53773,privat,,209666.14833518383,,,990.0,1,1,gasheizung,1,1,1,0,1,1,0,0,0,0,0,0,180.0,2970.0,1,,,0,0,10483.307416759191
99,einfamilienhaus,Angebot,160,7,59929,gewerblich,1964.0,-45822.55451088676,756.0,ja,150000.0,1,0,zentralheizung,0,0,1,0,1,1,0,1,1,0,0,0,,,0,,,0,0,-286.39096569304223
100,mehrfamilienhaus,Angebot,160,9,32825,gewerblich,1902.0,79657.38298148273,271.0,ja,195000.0,1,1,zentralheizung,1,1,0,0,0,0,0,0,0,0,1,0,,,0,,,0,0,497.8586436342671
